Date,Close,High,Low,Open,Volume
2019-09-14,735739.5,740291.4375,731026.25,734844.375,956692121305
2019-09-15,735016.25,737798.375,732546.1875,735627.0,855466270688
2019-09-16,737453.875,737368.875,730582.25,734981.375,1087880586900
2019-09-17,734508.0,734994.375,733299.125,737792.5625,1097652045470
2019-09-18,725961.0,734755.6875,725724.375,734975.875,1151007367909
2019-09-19,732951.1875,734956.3125,702925.125,726121.0,1423413584969
2019-09-20,724993.9375,734338.125,720948.125,732944.3125,1049162707455
2019-09-21,713463.9375,725453.6875,712110.4375,725136.875,955959548212
2019-09-22,717018.5625,717360.875,706543.9375,713777.125,939823886302
2019-09-23,688840.875,716530.1875,690077.25,716845.5625,1072268094473
2019-09-24,611785.25,694549.3125,593955.25,688840.6875,1774407362828
2019-09-25,602472.6875,620830.375,591881.5625,610569.0,1543609731518
2019-09-26,576215.6875,604312.5,560417.4375,602520.75,1366784641087
2019-09-27,583067.125,584424.3125,561816.875,575799.3125,1159439373107
2019-09-28,581412.25,585453.375,574134.875,583026.75,997080249356
2019-09-29,571408.5,582525.75,564560.5625,581420.875,919043322053
2019-09-30,585926.1875,587134.375,553575.9375,571411.375,1209134791447
2019-10-01,593290.375,604002.1875,581593.125,586339.6875,1088362970086
2019-10-02,597178.3125,597178.3125,586103.5,593356.9375,933915349557
2019-10-03,586688.8125,598681.5,578892.25,597016.9375,970866086298
2019-10-04,581185.625,586693.375,578446.375,586653.5,930601987448
2019-10-05,577328.0,581864.625,571635.125,581483.8125,864097163869
2019-10-06,565767.3125,578029.8125,563679.4375,577213.0,932125992848
2019-10-07,586185.4375,590077.5,561079.0625,565835.625,1280321606834
2019-10-08,586053.9375,591204.8125,583522.125,586272.6875,1110481044368
2019-10-09,611323.4375,613615.4375,581048.6875,586129.25,1378644479141
2019-10-10,609553.5625,613660.1875,602105.5625,610579.5,1250748333453
2019-10-11,591260.8125,618614.125,590864.6875,609467.625,1392891277242
2019-10-12,592312.25,597902.9375,590662.875,590828.0,1032544186002
2019-10-13,590159.0,601855.1875,588045.0,592336.875,979338880447
2019-10-14,596671.25,597361.8125,590016.5625,590146.6875,1079490885338
2019-10-15,586683.875,599238.1875,585243.5625,596583.75,1088259472717
2019-10-16,574306.125,587497.875,570151.375,586634.1875,1146941789468
2019-10-17,576431.25,578813.625,571355.3125,574326.5,1018087434748
2019-10-18,566819.3125,578885.375,561996.0,576219.4375,1112679544457
2019-10-19,567910.75,574598.1875,564798.1875,566861.6875,980894323678
2019-10-20,584096.375,588758.625,565129.625,568568.125,1101421756333
2019-10-21,584640.5625,588057.125,581257.0625,584312.125,1125403735181
2019-10-22,572292.25,588427.5,571994.9375,584617.9375,1190418500869
2019-10-23,531475.1875,573061.25,528267.875,572152.3125,1551910223986
2019-10-24,532109.625,532762.0625,528248.5,531125.5625,1155234426523
2019-10-25,613524.0625,615734.8125,531164.3125,531911.8125,2033466839188
2019-10-26,654913.8125,709940.375,613660.1875,614011.1875,3152114747324
2019-10-27,676643.4375,690656.6875,645532.4375,654682.5,2308897196053
2019-10-28,654827.125,694585.75,654827.125,677591.8125,2189437418275
2019-10-29,668372.0625,672941.5625,654636.3125,654281.875,2015304965537
2019-10-30,652155.3125,668314.375,644938.625,668001.6875,1962795807297
2019-10-31,652986.5625,664585.6875,641011.9375,651923.75,1886907810299
2019-11-01,654806.4375,655835.375,648032.9375,652589.5625,1719877376669
2019-11-02,657598.75,661320.125,653992.125,654713.0,1498078318255
2019-11-03,651296.6875,661483.75,644660.375,657603.625,1490288718622
2019-11-04,666309.5,673642.0,649364.75,651314.4375,1852566487808
2019-11-05,661194.0,669230.5625,654682.6875,666337.3125,1854141058838
2019-11-06,664716.0625,668442.125,661478.0,661076.3125,1642737868843
2019-11-07,658432.4375,665583.375,657489.6875,664113.4375,1612794170576
2019-11-08,628466.0,661310.125,626217.75,658276.625,1736819241631
2019-11-09,629087.0625,634671.3125,627629.625,628793.5,1254709916759
2019-11-10,646299.125,649746.3125,628557.4375,629009.0625,1469374006398
2019-11-11,626781.8125,647847.1875,621854.25,646398.4375,1450372207207
2019-11-12,632876.3125,634837.3125,622628.0,626922.3125,1458038161732
2019-11-13,635529.25,636774.0625,628334.3125,632615.8125,1265952325435
2019-11-14,626685.0,636878.0,625813.25,635794.3125,1373448522808
2019-11-15,608323.875,627007.75,608126.1875,626513.25,1561417813307
2019-11-16,612666.1875,615487.75,607033.125,608264.6875,1181902746018
2019-11-17,614565.8125,625350.375,609098.5,612573.75,1337507558335
